MLSNumber,Address,Category,StreetNumber,StreetName,UnitNumber,CrossStreet,FloorNumber,City,State,Zip Code,County,MLSArea,Township,Subdivision,School District,Schools-Elementary,Schools-Middle,Schools-HighSchool,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,AssociationFee,AssociationFeeFrequency,Structure Type ,OriginatingMLS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522776,21 Alcott Dr,RES,21,Alcott,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$,Unknown,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC519188,2500 McCawber Dr,RES,2500,Mccawber,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE GARDENS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517978,103 Balmore Ln,RES,103,Balmore,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HIGHLAND WEST,Red Clay Consolidated,Brandywine Springs,Skyline,Thomas Mckean,FeeSimple,No,No,Yes,$36 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508818,2805 E Oakland Dr,RES,2805,Oakland,,Faulkland Rd,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BRANDYWINE SPRINGS,Red Clay Consolidated,Brandywine Springs,Skyline,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507304,2803 Duncan Rd,RES,2803,Duncan,,Faulkland Road,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HYDE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511574,1921 E Zabenko Dr,RES,1921,Zabenko,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL VILLAGE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500210,2601 Lamper Ln,RES,2601,Lamper,,Grendon,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,Heritage,Skyline,Dickinson,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511328,232 Sloan Ct,RES,232,Sloan,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE HILLS WEST,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518708,2208 Saint Francis St,RES,2208,Saint Francis,,Milltown Rd.,,Wilmington,DE,19808,NEWCASTLEDE,30903,,VILLAGE OF LINDELL,Red Clay Consolidated,Heritage,Skyline,Dickinson,FeeSimple,No,No,Yes,$25 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC496572,134 Monet Cir,RES,134,Monet,,New Granville,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE HILLS WEST,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$274 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523842,3 Dorking Ct,RES,3,Dorking,,Dombey Road,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERIDAN SQUARE,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$10 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507774,143 Shinn Cir,RES,143,Shinn,,Glaken,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE HILLS WEST,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,Yes,$250 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518296,316 Nicholas Ct,RES,316,Nicholas,,Carol,,Wilmington,DE,19808,NEWCASTLEDE,30903,,ENGLISH CREEK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511730,1108 Milltown Rd,RES,1108,Milltown,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE ACRES,Red Clay Consolidated,Warner,Stanton,Thomas Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509676,2500 Emerson Dr,RES,2500,Emerson,,,,Wilmington,DE,19808,NEWCASTLEDE,30905,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$20 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507104,2119 Armour Dr,RES,2119,Armour,,Paulson,,Wilmington,DE,19808,NEWCASTLEDE,30903,,DELPARK MANOR,Red Clay Consolidated,Forest Oak,Stanton,John Dickinson,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC506254,2104 Ferguson Dr,RES,2104,Ferguson,,Paulson,,Wilmington,DE,19808,NEWCASTLEDE,30903,,DELPARK MANOR,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503780,1222 Arundel Dr,RES,1222,Arundel,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,ARUNDEL,Red Clay Consolidated,Heritage,Stanton,Thomas Mckean,FeeSimple,No,No,Yes,$100 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502518,2607 Whittier Pl,RES,2607,Whittier,,Bryan Dr,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,Heritage,Skyline,John Dickinson,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518548,14 Whistler Ct,RES,14,Whistler,,New Granville,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE HILLS WEST,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509800,2634 Belaire Dr,RES,2634,Belaire,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,MONTCLARE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501278,344 S Waterford Ln,RES,344,Waterford,,,,Wilmington,DE,19808,NEWCASTLEDE,30906,,NORTH POINTE,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,Yes,$275 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC498746,11 Yale Rd,RES,11,Yale,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,COOPER FARMS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500706,2652 Longfellow Dr,RES,2652,Longfellow,,E Ridng,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$20 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511232,2158 Elder Dr,RES,2158,Elder,,,,Wilmington,DE,19808,NEWCASTLEDE,30906,,ALBERTSON PARK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507480,2404 Calf Run Dr,RES,2404,Calf Run,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,TRUITT FARM,Red Clay Consolidated,Mote,Stanton,Mckean,FeeSimple,No,No,Yes,$100 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507498,2628 Sherwood Dr,RES,2628,Sherwood,,Dorcaster,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK I,Red Clay Consolidated,Brandywine Springs,Brandywine Springs School,Mckean,FeeSimple,No,No,Yes,$15 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503930,2705 E Riding Dr,RES,2705,Riding,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501876,2644 Grendon Dr,RES,2644,Grendon,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,Heritage,Skyline,Dickinson,FeeSimple,No,No,Yes,$25 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500286,2627 Drayton Dr,RES,2627,Drayton,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC498370,2602 Longfellow Dr,RES,2602,Longfellow,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,Heritage,Skyline,Dickinson,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522838,5467 Doral Dr,RES,5467,Doral,,,1,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$50 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523404,902 N Waterford Ln,RES,902,Waterford,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,NORTH POINTE,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$275 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC519394,4900 Plum Run Ct,RES,4900,Plum Run,,,2,Wilmington,DE,19808,NEWCASTLEDE,30903,,PLUM RUN,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$50 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC504304,2403 Belford Dr,RES,2403,Belford,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BELFORD MANOR,Red Clay Consolidated,Mote,Stanton,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC524666,321 Nicholas Ct,RES,321,Nicholas,,Carol Drive,,Wilmington,DE,19808,NEWCASTLEDE,30903,,NONE AVAILABLE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520384,2712 Tanager Dr,RES,2712,Tanager,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BROOKMEADE II,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC519514,1116 McKennans Church Rd,RES,1116,Mckennans Church,,Pecksniff,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK II,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517732,2518 McCawber Dr,RES,2518,Mccawber,,Pickwick Dr,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE GARDENS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511838,4869 Plum Run Ct,RES,4869,Plum Run,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PLUM RUN,Red Clay Consolidated,Linden Hill,Skyline,Dickinson,FeeSimple,No,No,Yes,$5 ,Monthly,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511444,4812 Hogan Dr,RES,4812,Hogan,,Limestone Rd,1,Wilmington,DE,19808,NEWCASTLEDE,30903,,PLUM RUN,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$55 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC506122,2716 Newell Dr,RES,2716,Newell,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAULKLAND HEIGHTS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501896,6 Reese Ct,RES,6,Reese,,Barr Rd,1,Wilmington,DE,19808,NEWCASTLEDE,30903,,DELPARK MANOR,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$35 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC495868,701 Dorcaster Dr,RES,701,Dorcaster,,W. Robino Dr.,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK I,Red Clay Consolidated,Brandywine Springs School,Skyline,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC495130,513 Southampton Ln,RES,513,Southampton,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,NORTH POINTE,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$275 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503432,1153 Elderon Dr,RES,1153,Elderon,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,ARUNDEL,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$100 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC499704,2602 Stephenson Dr,RES,2602,Stephenson,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521946,2400 Calf Run Dr,RES,2400,Calf Run,,Milltown Road,,Wilmington,DE,19808,NEWCASTLEDE,30902,,TRUITT FARM,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$100 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521450,10 Steeplechase Rd,RES,10,Steeplechase,,Middleton,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE HILLS,Red Clay Consolidated,Cooke,Dupont H,Thomas Mckean,FeeSimple,No,No,Yes,$275 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518882,2434 W Parris Dr,RES,2434,Parris,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CEDARCREST,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522742,2505 Emerson Dr,RES,2505,Emerson,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000026,2510 Nicholby Dr,RES,2510,Nicholby,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE GARDENS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC506210,4 Plover Ct,RES,4,Plover,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BROOKMEADE II,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC506650,707 Dorcaster Dr,RES,707,Dorcaster,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK I,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$15 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC524508,2712 Fawkes Dr,RES,2712,Fawkes,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK II,Red Clay Consolidated,Heritage,Skyline,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505832,5 Duvall Ct,RES,5,Duvall,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,ARUNDEL,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$100 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC504530,2714 East Riding Dr,RES,2714,East Riding,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,Heritage,Skyline,Dickinson,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500552,2621 Pike Creek Rd,RES,2621,Pike Creek,,Forsythia Drive,,Wilmington,DE,19808,NEWCASTLEDE,30903,,NONE AVAILABLE,Red Clay Consolidated,Heritage,Skyline,John Dickinson,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508702,3010 Faulkland Rd,RES,3010,Faulkland,,Centerville Rd,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BRANDYWINE SPRINGS,Red Clay Consolidated,Anna P. Mote,Stanton,Thomas Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523586,7 Barbara Pl,RES,7,Barbara,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,EASTBURN ACRES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522948,113 Attic Ct,RES,113,Attic,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE HILLS WEST,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$275 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522426,182 Gregg Dr,RES,182,Gregg,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE HILLS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$275 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC506868,2502 Maple Ave,RES,2502,Maple,,Washington Ave,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CEDARS,Red Clay Consolidated,Mote,Stanton,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC499846,2611 Bardell Dr,RES,2611,Bardell,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK II,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$25 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC498754,22 Duvall Ct,RES,22,Duvall,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,ARUNDEL,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$100 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500736,29 Milltown Rd,RES,29,Milltown,,rt 41,,Wilmington,DE,19808,NEWCASTLEDE,30903,,COOPER FARMS,Red Clay Consolidated,Brandywine Springs School,Brandywine Springs School,Thomas Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC489694,416 Riblett Ln,RES,416,Riblett,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,NONE AVAILABLE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC497312,2715 Tanager Dr,RES,2715,Tanager,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BROOKMEADE,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$60 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520984,2606 Darby Dr,RES,2606,Darby,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK I,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522740,1114 Ipswich Dr,RES,1114,Ipswich,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK II,Red Clay Consolidated,Brandywine Springs,Skyline,Mckean,FeeSimple,No,No,Yes,$15 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522200,2648 Stephenson Dr,RES,2648,Stephenson,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505134,2410 Cedar Ave,RES,2410,Cedar,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,MILL CREEK,Red Clay Consolidated,Anna P. Mote,Stanton,Thomas Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC504582,1001 Elderon Dr,RES,1001,Elderon,,Arundel Dr.,1,Wilmington,DE,19808,NEWCASTLEDE,30903,,ARUNDEL,Red Clay Consolidated,Heritage,Skyline,Thomas Mckean,FeeSimple,No,No,Yes,$100 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC498380,202 Niagara Falls Dr,RES,202,Niagara Falls,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LITTLE FALLS VILL,Red Clay Consolidated,,,,FeeSimple,Yes,No,Yes,$125 ,Monthly,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521046,4621 Griffin Dr,RES,4621,Griffin,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE ACRES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522118,2621 Heritage Farm Dr,RES,2621,Heritage Farm,,Milltown Rd,,Wilmington,DE,19808,NEWCASTLEDE,30903,,HERITAGE PARK,Red Clay Consolidated,Heritage,Skyline,Dickinson,FeeSimple,No,No,Yes,$25 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522890,3533 Hopkins Dr,RES,3533,Hopkins,,Carousel Ct,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CAROUSEL KNOLL,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500972,3005 Ridgevale Rd,RES,3005,Ridgevale,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SKYLINE HILLS OF,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522312,1 Waxwing Ct,RES,1,Waxwing,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BROOKMEADE II,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$60 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
