MLSNumber,Address,BuildingName,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,AssociationFee,AssociationFeeFrequency,Structure Type ,Acres,LotDimensions,LotDescription,FeeIncludes,Age,InteriorSqFt,Interior SqFt Source,AboveGradeSqFt,BelowGradeSqFt,PropertyCondition,Bedrooms,Baths,BathsFull,PartialBaths,Design,Style,NumberofStories,RoomCount,InteriorFeatures,Flooring,Central Air YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,ElectricalSystem,Water,Sewer,Fireplace YN,FireplaceCount,FireplaceFeatures,KitchenAppliancesFeatures,CookingFuel,Other Rooms,LaundryHookUps,Basement YN,BasementType,BasementDescription,BasementFootprintPct,BasementFinishedPct,Garage YN,GarageSpaces,GarageFeatures,Parking,ExteriorFeatures,ExteriorMaterial,Main Roof,Foundation,PorchDeck,SwimmingPoolType,OtherStructures
DENC520262,117 Olga Rd,,FeeSimple,No,No,No,,,Detached,0.11,50.00 x 100.80,,,1950,2695,Assessor,2100,595,,3,2,2,,Two,CapeCod,"Lower1,Main,Upper1",,,,No,"HeatPumps,WindowUnits","Electric,NaturalGas","ForcedAir,HeatPumps",Electric,,Public,PublicSewer,,0,,,,,,Yes,Partial,Partial,,50,No,,,,,Brick,,,,,
DENC503234,2519 Kittiwake Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.17,,,,1962,1700,Estimated,1700,0,,3,2,2,,One,Rancher,Main,,,,Yes,CentralAC,NaturalGas,ForcedAir,Electric,CircuitBreakers,Public,PublicSewer,Yes,2,,,,,BsmtLaundry,Yes,Partial,Partial,,,Yes,1,,,Other,Brick,,,,,
DENC499750,1321 Greenleaf Rd,,FeeSimple,No,No,No,,,Detached,0.19,65.10 x 120.00,,,1956,2004,Estimated,2004,0,VeryGood,4,2,2,0,Three,SplitLevel,"Lower1,Main,Upper1",,"CeilngFans,ComboKitchenDining,DiningArea,FloorPlanOpen,KitchenGourmet,RecessedLighting","Hardwood,TileBrick",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,Stainless Steel Appliances,Stainless Steel Appliances,,,Yes,Full,Full,,,No,,AsphaltDriveway,AsphaltDriveway,,VinylSiding,ArchitecturalShingle,,,,
DENC509320,1702 Sycamore St,,FeeSimple,No,No,No,,,Detached,0.1,0.00 x 0.00,,,2010,1850,Assessor,1850,0,,4,3,2,1,Two,Colonial,"Main,Upper1",,,"Carpet,Hardwood",Yes,CentralAC,NaturalGas,ForcedAir,Electric,,Public,PublicSewer,,0,,"Dishwasher, Disposal, Dryer, Microwave, Oven/Range - Electric, Washer","Dishwasher, Disposal, Dryer, Microwave, Oven/Range - Electric, Washer",,,No,,,,,Yes,1,ConcreteDriveway,ConcreteDriveway,,"Brick,VinylSiding",,Slab,,,
DENC505796,1012 Kendall Rd,,FeeSimple,No,No,Yes,$25 ,Annually,Detached,0.16,65.00 x 110.00,"FrontYard,Landscaping,Level,RearYard",,1955,2314,Assessor,1650,664,Excellent,3,2,2,,OneandaHalf,SplitLevel,"Lower1,Main,Upper1",,"Attic,Carpet,CeilngFans,DiningArea,FloorPlanOpen,Other,Skylights,TubShower,WoodFloors","Carpet,CeramicTile,Wood",Yes,CentralAC,NaturalGas,Central,NaturalGas,200PlusAmpService,Public,PublicSewer,Yes,1,"Heatolator,Wood","Dishwasher, Dryer, Extra Refrigerator/Freezer, Icemaker, Microwave, Oven/Range - Electric, Range Hood, Stainless Steel Appliances, Water Heater","Dishwasher, Dryer, Extra Refrigerator/Freezer, Icemaker, Microwave, Oven/Range - Electric, Range Hood, Stainless Steel Appliances, Water Heater",,LowFlrLndry,Yes,Partial,Partial,,,Yes,2,,,StreetLights,"CopperPlumbing,Frame,Other,VinylSiding",Shingle,,"Decks,Patios",,
DENC522122,1039 Dettling Rd,NONE AVAILABLE,FeeSimple,No,No,Yes,$25 ,Annually,Detached,0.21,,,,1955,1500,Assessor,1500,0,,3,2,1,1,Two,SplitLevel,"Lower1,Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,Electric,,Public,PublicSewer,,,,,,,,Yes,Partial,Partial,,,No,,,,GutterSystem,"BrickFront,VinylSiding",,,,,
DENC509536,1100 Spruce Ave,,FeeSimple,No,No,No,,,Detached,0.24,50.00 x 208.00,,,1920,2100,Estimated,2100,0,,5,2,2,,Two,Colonial,Main,12,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,Partial,Partial,,,No,,AsphaltDriveway,AsphaltDriveway,,VinylSiding,,,,,
DENC519212,1031 N Clayton St,,FeeSimple,No,No,No,,,End of Row/Townhouse,0.06,20.40 x 130.00,,,1900,1675,Assessor,1675,0,VeryGood,4,2,2,,Two,Victorian,"Main,Upper1",,"Attic,Carpet,DiningArea,FormalSeparateDiningRoom,UpgradedCountertops,WoodFloors","Carpet,Hardwood",Yes,CentralAC,NaturalGas,ForcedAir,Electric,100AmpService,Public,PublicSewer,Yes,1,BrickFirePl,"Dishwasher, Oven/Range - Electric, Refrigerator, Washer","Dishwasher, Oven/Range - Electric, Refrigerator, Washer",,BsmtLaundry,Yes,"Full,Unfinished","Full,Unfinished",,,No,,,,,Brick,Flat,"BrickMortar,Stone","Decks,Porches",,
DENC510016,710 Bayard Ave,,FeeSimple,No,No,No,,,End of Row/Townhouse,0.05,0.00 x 0.00,,,2002,2400,Assessor,2000,400,,3,4,3,1,Three,Victorian,"Lower1,Main,Upper1",,,"Carpet,Hardwood",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,Yes,1,,,,"AluminumSiding,Brick,VinylSiding",ArchitecturalShingle,,,,
DENC505808,2113 Pyle St,,FeeSimple,No,No,Yes,$300 ,Annually,Twin/Semi-Detached,0.06,0.00 x 0.00,,,2013,2100,Assessor,2100,0,,2,3,2,1,Three,Traditional,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,Yes,2,,,,VinylSiding,,,,,
DENC522056,215 S Ogle Ave,,FeeSimple,No,No,No,,,Detached,0.16,55.00 x 125.00,,,1938,1675,Assessor,1675,0,,4,2,2,,Two,Colonial,"Main,Upper1",,BreakfastArea,,Yes,CentralAC,Oil,HotWater,Electric,,Public,PublicSewer,Yes,1,BrickFirePl,,,,LowFlrLndry,Yes,Full,Full,,,Yes,1,AsphaltDriveway,AsphaltDriveway,,Brick,,,Patios,,
DENC520990,426 Ohio Ave,,FeeSimple,No,No,No,,,Detached,0.14,60.00 x 100.00,,,1940,1475,Assessor,1475,0,,3,3,2,1,One,CapeCod,Main,,,,No,Other,Other,HeatPumps,Other,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,Yes,2,,,,VinylSiding,,,,,
DENC520380,711 Coverdale Rd,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.05,21.80 x 100.20,,,1919,1550,Assessor,1550,0,,3,2,2,,TwoandaHalf,Other,Main,,,,No,Other,NaturalGas,HotWater,NaturalGas,,Public,PublicSewer,,1,,,,,,Yes,Full,Full,,,No,,,,,Stucco,,,,,
DENC500688,2 Crawford Cir,,FeeSimple,No,No,Yes,$80 ,SemiAnnually,Interior Row/Townhouse,0.07,16.80 x 86.60,,,1919,1625,Assessor,1625,0,Good,3,2,2,,Three,Victorian,"Main,Upper1,Upper2",,"Carpet,WoodFloors","Carpet,Hardwood",Yes,CentralAC,NaturalGas,HotWater,,,Public,PublicSewer,Yes,1,,"Dishwasher, Disposal, Dryer, Oven - Single, Washer","Dishwasher, Disposal, Dryer, Oven - Single, Washer",,,Yes,Full,Full,,,No,,,,,Stucco,Asphalt,,,,
DENC507046,720 S Scott St,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.1,56x86,"BacksParkland,Corner,FrontYard,RearYard,SideYards,Sloping",,1952,2589,Assessor,1725,864,VeryGood,3,2,1,1,Two,Colonial,"Main,Upper1",,,Wood,Yes,CentralAC,NaturalGas,Radiator,NaturalGas,"150Amps,CircuitBreakers",Public,PublicSewer,Yes,2,"GasPropane,NonFunctioning",,,,,Yes,"GarageAccess,PartiallyFinished,SideEntrance","GarageAccess,PartiallyFinished,SideEntrance",,,Yes,1,,,"Sidewalks,StreetLights","Brick,Tile",Tile,Block,Patios,,
DENC512780,3 E Brookland Ave,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.3,150x100,BackstoTrees,,1950,1750,Estimated,1750,0,Average,3,2,2,,Two,CapeCod,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,CircuitBreakers,Public,PublicSewer,,,,,,,BsmtLaundry,Yes,"Drain,Full,InteriorAccess,OutsideEntrance","Drain,Full,InteriorAccess,OutsideEntrance",,,Yes,3,PavedParking,PavedParking,StoneRetainingWalls,Brick,,,"Brick,Patios,Porches,Roof,Screened",,
DENC522864,2019 Wildwood Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.22,,"BackstoTrees,FrontYard,Level,Private",,1960,1650,Assessor,1650,0,Excellent,4,2,1,1,Three,SplitLevel,"Main,Upper1,Upper2",6,"CeilngFans,EntryLevBedrm,FloorPlanOpen,KitchenIsland","Carpet,CeramicTile,Hardwood",Yes,CentralAC,NaturalGas,BaseboardHotWater,NaturalGas,150Amps,Public,PublicSewer,Yes,1,Wood,"Built-In Microwave, Dishwasher, Dryer, Icemaker, Oven/Range - Gas, Refrigerator, Washer, Water Heater","Built-In Microwave, Dishwasher, Dryer, Icemaker, Oven/Range - Gas, Refrigerator, Washer, Water Heater",,MainFlrLndry,No,,,,,Yes,1,,,"Outbuildings,PlayArea,PlayEquipment,Sidewalks,StreetLights","Brick,VinylSiding",Shingle,CrawlSpace,,,
DENC520774,1416 Wedgewood Rd,,FeeSimple,No,No,No,,,Detached,0.25,123.00 x 83.00,,,1956,2533,Assessor,1525,1008,Excellent,3,2,1,1,Three,SplitLevel,"Lower1,Main,Upper1",,BuiltIns,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,Partial,Partial,,,Yes,2,,,,VinylSiding,,,,,
DENC522234,307-A S Gray Ave,,FeeSimple,No,No,No,,,Detached,0.08,50.00 x 71.00,,,2016,1325,Assessor,1325,0,,3,3,2,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,90ForcedAir,Electric,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,Yes,1,,,,"AluminumSiding,VinylSiding",,,,,
DENC508654,30 S Ford Ave,,FeeSimple,No,No,No,,,Detached,0.13,0.00 x 0.00,,,1920,2350,Assessor,2350,0,,5,2,2,,Two,Other,"Main,Upper1",,WoodFloors,,Yes,CentralAC,NaturalGas,HotWater,NaturalGas,,Public,PublicSewer,Yes,1,,Stainless Steel Appliances,Stainless Steel Appliances,,,Yes,Full,Full,,,Yes,1,,,,"Brick,Frame,VinylSiding",,,,,
DENC519232,900 N Bancroft Pkwy,,FeeSimple,No,No,Yes,$370 ,Quarterly,End of Row/Townhouse,0.06,30.00 x 92.10,Corner,,1979,2025,Assessor,2025,0,,3,3,2,1,Three,Traditional,"Lower1,Main,Upper1,Upper2",,"Attic,CrownMoldings,FloorPlanTraditional,KitchenGalley,MasterBaths,RecessedLighting,TubShower,WalkinClosets,WoodFloors","Carpet,CeramicTile,Hardwood",Yes,CentralAC,NaturalGas,HeatPumps,Electric,,Public,PublicSewer,Yes,1,"BrickFirePl,Mantels,Wood","Dishwasher, Disposal, Dryer, Microwave, Oven/Range - Electric, Range Hood, Washer, Water Heater","Dishwasher, Disposal, Dryer, Microwave, Oven/Range - Electric, Range Hood, Washer, Water Heater",,LowFlrLndry,Yes,"Full,PartiallyFinished","Full,PartiallyFinished",,,No,,,,,Brick,Asphalt,,,,
DENC511926,1801 W 10th St,,FeeSimple,No,No,No,,,Detached,0.1,50.00 x 89.90,,,1930,2275,Assessor,2275,0,,3,3,3,,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,Radiator,NaturalGas,,Public,NoSepticSystem,,1,,,,,,Yes,Full,Full,,,No,,,,,Brick,,,,,
DENC519160,3002 W 5th St,,FeeSimple,No,No,No,,,Detached,0.1,36.00 x 117.50,,,2007,1675,Assessor,1675,0,,3,3,2,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,Yes,1,,,"ExteriorLighting,Sidewalks,StreetLights","AluminumSiding,Brick,VinylSiding",,,,,
DENC522584,114 Exmore Ave,,FeeSimple,No,No,No,,,Detached,0.14,0.00 x 0.00,,,1920,3200,Estimated,3200,0,,0,0,0,,Three,Colonial,"Main,Upper1",,,,No,WindowUnits,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,No,,,,,Brick,,,,,
DENC519270,1817 Linden St,,FeeSimple,No,No,No,,,Detached,0.21,90.00 x 100.00,,,1948,0,Assessor,0,0,,4,3,3,,One,Rancher,"Lower1,Main",,"FormalSeparateDiningRoom,KitchenEatIn,MasterBaths,WoodFloors",,Yes,CentralAC,NaturalGas,HotWater,NaturalGas,,Public,PublicSewer,Yes,1,,"Dishwasher, Oven/Range - Gas","Dishwasher, Oven/Range - Gas",,LowFlrLndry,Yes,Partial,Partial,,,No,,"PavedDriveway,PavedParking","PavedDriveway,PavedParking","Sidewalks,StreetLights","Concrete,Stone",,,Porches,,
DENC498196,821 Bayard Ave,,FeeSimple,No,No,Yes,$150 ,Annually,Interior Row/Townhouse,0.04,19.00 x 85.00,,,1994,2280,Assessor,1900,380,"VeryGood,Good",2,4,2,2,Three,Traditional,"Lower1,Main,Upper1",7,"BreakfastArea,CeilngFans,ComboKitchenDining,FloorPlanOpen,KitchenIsland,UpgradedCountertops,WindowTreatments,WoodFloors","Carpet,Hardwood,Other",Yes,CentralAC,NaturalGas,ForcedAir,"60PlusGallonTank,Electric","200PlusAmpService,CircuitBreakers",Public,PublicSewer,Yes,1,DoubleSided,"Dishwasher, Dryer, Exhaust Fan, Icemaker, Oven - Self Cleaning, Refrigerator, Washer, Water Heater","Dishwasher, Dryer, Exhaust Fan, Icemaker, Oven - Self Cleaning, Refrigerator, Washer, Water Heater",,LowFlrLndry,Yes,"DaylightPartial,Full,FullyFinished,GarageAccess,WalkoutLevel","DaylightPartial,Full,FullyFinished,GarageAccess,WalkoutLevel",,100,Yes,1,ConcreteDriveway,ConcreteDriveway,"ExtensiveHardscape,FloodLights","Brick,BrickFront,Stucco",Shingle,ConcretePerimeter,"Decks,Patios",,
DENC494834,1114 N Bancroft Pkwy,NONE AVAILABLE,FeeSimple,No,No,No,,,Twin/Semi-Detached,0.08,,,,1933,1543,Estimated,1543,0,Good,3,2,1,1,Three,Traditional,"Main,Upper1",,"CeilngFans,ChairRailings,CrownMoldings,DiningArea,RecessedLighting,UpgradedCountertops,WoodFloors","Hardwood,TileBrick",Yes,"CentralAC,Zoned",NaturalGas,"Radiant,Steam",,"200PlusAmpService,CircuitBreakers",Public,PublicSewer,Yes,1,"BrickFirePl,GasPropane","Built-In Range, Dishwasher, Disposal, Dryer, Exhaust Fan, Refrigerator, Washer, Water Heater","Built-In Range, Dishwasher, Disposal, Dryer, Exhaust Fan, Refrigerator, Washer, Water Heater",,BsmtLaundry,Yes,OutsideEntrance,OutsideEntrance,,,Yes,1,Public,Public,Sidewalks,"Brick,Stone,VinylSiding","Asphalt,Pitched",,"Decks,Porches,Roof",,
DENC502890,2113 Fairfield Pl,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.04,20.00 x 78.00,,,1979,2250,Assessor,2250,0,Excellent,3,2,2,,TwoandaHalf,Traditional,"Lower1,Main,Upper1",,"BreakfastArea,ButlersPantry,DiningArea",,Yes,CentralAC,Electric,ForcedAir,Electric,CircuitBreakers,Public,"PublicSeptic,PublicSewer",,1,,,,,BsmtLaundry,Yes,Full,Full,,,No,,AsphaltDriveway,AsphaltDriveway,"Sidewalks,StreetLights",Brick,Shingle,,,,
DENC498122,902 N Bancroft Pkwy,NONE AVAILABLE,FeeSimple,No,No,No,,,End of Row/Townhouse,0.1,31 x 104,"Level,Private",,1979,2383,Assessor,1675,708,,3,3,2,1,Three,Colonial,"Main,Upper1,Upper2",,,,Yes,CentralAC,Electric,ForcedAir,,CircuitBreakers,Public,PublicSewer,Yes,,,,,,BsmtLaundry,Yes,FullyFinished,FullyFinished,,,No,,Unassigned,Unassigned,Sidewalks,Brick,,,Patios,,
DENC512184,1207 Woodlawn Ave,,FeeSimple,No,No,No,,,Twin/Semi-Detached,0.05,25.10 x 100.00,FrontYard,,1939,1825,Estimated,1525,300,Excellent,3,2,1,1,Two,Colonial,"Lower1,Main,Upper1",9,"Attic,Carpet,WoodFloors",Hardwood,No,None,NaturalGas,HotWater,NaturalGas,CircuitBreakers,Public,PublicSewer,Yes,1,"BrickFirePl,Corner","Dishwasher, Microwave, Oven/Range - Electric","Dishwasher, Microwave, Oven/Range - Electric",,BsmtLaundry,Yes,"DaylightPartial,Full,OutsideEntrance,PartiallyFinished,Shelving","DaylightPartial,Full,OutsideEntrance,PartiallyFinished,Shelving",,,Yes,1,,,"Sidewalks,StreetLights",Brick,Shingle,,"Balcony,Patios,Porches",,
DENC524630,900 N Bancroft Parkway,NONE AVAILABLE,FeeSimple,No,No,Yes,$369 ,Quarterly,End of Row/Townhouse,0.06,30 x 92.10,"Corner,Landscaping,RearYard",,1979,2025,Assessor,2025,0,,3,3,2,1,Three,Colonial,"Main,Upper1,Upper2",7,,,Yes,CentralAC,NaturalGas,90ForcedAir,Electric,,Public,PublicSewer,,,,,,,,Yes,PartiallyFinished,PartiallyFinished,,,No,,Surface,Surface,"ExtensiveHardscape,StreetLights",Brick,,,,,
DENC503314,2500 Marion Ave,,FeeSimple,No,No,No,,,Detached,0.23,100.00 x 100.00,"Landscaping,RearYard",,1971,4475,Estimated,2235,2240,Excellent,4,3,3,,One,Rancher,"Lower1,Main",,"Bar,BreakfastArea,BuiltIns","Carpet,CeramicTile,Hardwood,Laminated,Vinyl",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,CircuitBreakers,Public,PublicSewer,,0,,"Dishwasher, Microwave, Oven/Range - Electric","Dishwasher, Microwave, Oven/Range - Electric",,,Yes,"Full,FullyFinished","Full,FullyFinished",,,Yes,6,ConcreteDriveway,ConcreteDriveway,,Brick,ArchitecturalShingle,,,,
DENC501812,9 Elm Ave,,FeeSimple,No,No,No,,,Detached,0.18,80.00 x 100.00,,,1948,2800,Assessor,2800,0,,3,4,3,1,Two,CapeCod,"Lower1,Main,Upper1",,,,Yes,CentralAC,NaturalGas,Radiator,,,Public,PublicSewer,,1,,,,,BsmtLaundry,Yes,"Full,PartiallyFinished","Full,PartiallyFinished",,,Yes,1,,,,"Brick,VinylSiding",,,Decks,,
DENC520122,1104 Woodlawn Ave,NONE AVAILABLE,FeeSimple,No,No,No,,,Twin/Semi-Detached,0.09,,,,1935,1925,Estimated,1925,0,,4,2,1,1,Three,Traditional,"Main,Upper1,Upper2",1,,,No,"WallUnit,WindowUnits",NaturalGas,BaseboardHotWater,NaturalGas,,Public,PublicSewer,,,,,,,,Yes,"OutsideEntrance,Unfinished","OutsideEntrance,Unfinished",,,Yes,1,,,"Sidewalks,StreetLights",Brick,"Metal,Slate",,"Decks,Patios",,
DENC510274,711 Armstrong Ave,,FeeSimple,No,No,No,,,Detached,0.14,0.00 x 0.00,,,2005,2700,Assessor,2700,0,,3,4,3,1,Two,CapeCod,"Lower1,Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,1,,,,,,Yes,Full,Full,,,Yes,1,PavedDriveway,PavedDriveway,,"AluminumSiding,VinylSiding",,,,,
DENC503818,711 Nottingham Rd,NONE AVAILABLE,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.05,,,,1918,0,Assessor,0,0,VeryGood,3,3,2,1,Three,Colonial,"Lower1,Upper1,Upper2",,,"Hardwood,TileBrick",No,MultiUnits,Oil,"BaseboardHotWater,Radiator",Electric,150Amps,Public,PublicSewer,Yes,1,,,,,BsmtLaundry,Yes,Full,Full,,,No,,,,Sidewalks,Stucco,ArchitecturalShingle,,"Brick,Patios",,
DENC524632,902 N Bancroft Pkwy,,FeeSimple,No,No,No,,,Twin/Semi-Detached,0.1,31.00 x 104.60,,,1979,2383,Estimated,2383,,,3,3,2,1,Three,Colonial,"Lower1,Main,Upper1,Upper2",,,,Yes,CentralAC,Electric,ForcedAir,Electric,,Public,PublicSewer,Yes,1,,,,,,Yes,Full,Full,,,No,,,,,Brick,,,Patios,,
DENC508362,8 Crawford Cir,,FeeSimple,No,No,Yes,$60 ,SemiAnnually,End of Row/Townhouse,0.1,16.80 x 111.40,,,1919,1300,Assessor,1300,0,,2,3,2,1,Three,Colonial,"Main,Upper1,Upper2",,"AtticHouseFan,BuiltIns,CeilngFans,MasterBaths,WalkinClosets,WindowTreatments","CeramicTile,Hardwood,Stone",Yes,"CeilingFans,CentralAC",NaturalGas,ForcedAir,NaturalGas,CircuitBreakers,Public,PublicSewer,Yes,1,GasPropane,"Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Microwave, Oven - Self Cleaning, Oven - Single, Oven/Range - Gas, Range Hood, Refrigerator, Stainless Steel Appliances, Washer, Water Heater","Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Microwave, Oven - Self Cleaning, Oven - Single, Oven/Range - Gas, Range Hood, Refrigerator, Stainless Steel Appliances, Washer, Water Heater",,BsmtLaundry,Yes,"Full,Unfinished","Full,Unfinished",,,Yes,2,,,"Sidewalks,StreetLights",Stucco,Slate,,Patios,,
DENC519924,2600 Washington Ave,,FeeSimple,No,No,No,,,Detached,0.64,100.00 x 277.50,,,1943,0,Assessor,0,0,,5,4,3,1,Two,Victorian,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,Electric,,Public,PrivateSewer,,,,,,,,Yes,FullyFinished,FullyFinished,,,No,,,,,VinylSiding,,,,,
DENC512510,7 Chestnut Run Ln,,FeeSimple,No,No,No,,,Detached,0.57,120.00 x 209.10,"FrontYard,Nothrustreet,RearYard",,1977,2375,Assessor,2375,0,,3,3,2,1,Two,Colonial,"Main,Upper1",,"ButlersPantry,CeilngFans,FamRmOffKitchen,FloorPlanOpen,FormalSeparateDiningRoom,KitchenIsland,WoodFloors",,Yes,CentralAC,"Electric,Oil","HeatPumps,HeatPumpOilBackUp",Oil,CircuitBreakers,Public,PublicSewer,Yes,1,,"Built-In Microwave, Dishwasher, Disposal, Dryer, Extra Refrigerator/Freezer, Oven - Self Cleaning, Stainless Steel Appliances, Washer, Water Heater","Built-In Microwave, Dishwasher, Disposal, Dryer, Extra Refrigerator/Freezer, Oven - Self Cleaning, Stainless Steel Appliances, Washer, Water Heater",,MainFlrLndry,Yes,Full,Full,,,Yes,1,,,"ExteriorLighting,HotTub",VinylSiding,,,Decks,"AboveGround,Fenced",
DENC518414,702 Blackshire Rd,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.12,42.00 x 124.60,,,1918,1875,Assessor,1875,0,Excellent,3,3,2,1,Three,Traditional,"Main,Upper1,Upper2",,"BuiltIns,CeilngFans,WoodFloors",,No,MultiUnits,NaturalGas,HotWater,NaturalGas,,Public,PublicSewer,,1,,,,,,Yes,Full,Full,,,No,,,,,Stucco,,,,,
DENC501432,2208 Fairfield Pl,,FeeSimple,No,No,No,,,Detached,0.12,58.00 x 89.40,"BackstoTrees,Corner,Landscaping,Open,Premium,RearYard,RoadFrontage",,1948,1700,Assessor,1700,0,Excellent,3,3,2,1,Two,Colonial,"Main,Upper1",7,"Attic,CeilngFans,ChairRailings,CrownMoldings,DiningArea,FamRmOffKitchen,FloorPlanTraditional,KitchenGourmet,MasterBaths,StallShower,TubShower,Wainscotting,WoodFloors",,Yes,CentralAC,NaturalGas,HotWater,,,Public,NoSepticSystem,Yes,1,"FireplaceGlassDoors,GasPropane","Built-In Microwave, Cooktop, Dishwasher, Disposal, Dryer, Dryer - Electric, Extra Refrigerator/Freezer, Oven - Double, Oven/Range - Electric, Six Burner Stove, Washer, Water Heater - Tankless","Built-In Microwave, Cooktop, Dishwasher, Disposal, Dryer, Dryer - Electric, Extra Refrigerator/Freezer, Oven - Double, Oven/Range - Electric, Six Burner Stove, Washer, Water Heater - Tankless",,"BsmtLaundry,LowFlrLndry",Yes,Full,Full,,,Yes,1,,,"Awnings,BBQGrill,ExtensiveHardscape,HotTub,Other,OutsideShower,Sidewalks",Brick,Tile,Block,"Brick,Decks,Porches",,
DENC507546,712 Coverdale Rd,,FeeSimple,No,No,Yes,$35 ,Quarterly,Twin/Semi-Detached,0.12,50.50 x 115.90,,,1924,1950,Assessor,1950,0,,4,3,2,1,Three,Tudor,Main,,,,No,"CeilingFans,WindowUnits",NaturalGas,HotWater,NaturalGas,,Public,PublicSewer,,1,,,,,,Yes,Full,Full,,,Yes,2,,,,Brick,,,,,
DENC502902,700 Blackshire Rd,NONE AVAILABLE,FeeSimple,No,No,Yes,$74 ,SemiAnnually,Detached,0.12,,,,1983,3551,Estimated,2375,1176,,4,3,2,1,Two,Colonial,"Main,Upper1",,"Attic,UpgradedCountertops,WoodFloors",,Yes,CentralAC,NaturalGas,ForcedAir,Other,200PlusAmpService,Public,PublicSewer,Yes,1,BrickFirePl,,,,MainFlrLndry,Yes,"FullyFinished,OutsideEntrance","FullyFinished,OutsideEntrance",,,Yes,2,,,Sidewalks,Combination,,,Decks,,
DENC523090,701 Nottingham Rd,,FeeSimple,No,No,Yes,$181 ,SemiAnnually,End of Row/Townhouse,0.24,88.90 x 115.50,,,1919,2000,Assessor,2000,0,,3,3,2,1,Three,Colonial,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,"HotWater,Radiator",Electric,,Public,PublicSewer,,1,,,,,,Yes,Full,Full,,,Yes,2,ConcreteDriveway,ConcreteDriveway,,"Concrete,Masonry",,,,,
DENC506108,1110 Blackshire Rd,,FeeSimple,No,No,No,,,Detached,0.26,80.00 x 140.00,,,1929,2800,Assessor,2800,0,,6,5,4,1,Three,Tudor,Main,,"BuiltIns,FormalSeparateDiningRoom,WalkinClosets,WoodFloors",,Yes,CentralAC,NaturalGas,HotWater,NaturalGas,,Public,PublicSewer,Yes,1,,,,,,Yes,Full,Full,,,Yes,2,,,,Brick,,,Porches,,
DENC501086,714 Nottingham Rd,,FeeSimple,No,No,No,,,Twin/Semi-Detached,0.1,42.00 x 100.00,,,1927,2775,Assessor,2775,0,Excellent,4,3,2,1,Three,"Colonial,Traditional","Main,Upper1,Upper2",,"BuiltIns,ButlersPantry,CrownMoldings,FloorPlanOpen,FloorPlanTraditional,FormalSeparateDiningRoom,KitchenEatIn,KitchenGourmet,Pantry,MasterBaths,RecessedLighting,SoakingTub,UpgradedCountertops,Wainscotting,WalkinClosets,WindowTreatments","Hardwood,Stone,TileBrick",Yes,CentralAC,NaturalGas,HotWater,NaturalGas,200PlusAmpService,Public,PublicSewer,,0,,"Built-In Microwave, Built-In Range, Dishwasher, Disposal, Refrigerator, Stainless Steel Appliances, Water Heater","Built-In Microwave, Built-In Range, Dishwasher, Disposal, Refrigerator, Stainless Steel Appliances, Water Heater",,,Yes,Full,Full,,,Yes,1,ConcreteDriveway,ConcreteDriveway,"ExteriorLighting,Sidewalks,StreetLights",Brick,"ArchitecturalShingle,Flat",,,,
