MLSNumber,Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,Age,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,BathsFull,Design,Style,NumberofStories,Central_Air_YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,Water,Sewer,Basement_YN,Garage_YN,ExteriorMaterial,LotFrontage,LotDepth,LotSqFt,LotAcres,YearBuilt
DENC501086,499000.0,19805,WAWASET PARK,Red Clay Consolidated,No,Twin/Semi-Detached,0.1,1927.0,2775.0,2775.0,0.0,4.0,3.0,2.0,Three,"Colonial,Traditional","Main,Upper1,Upper2",Yes,CentralAC,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,42.0,100.0,4356,0.1,1927
DENC510022,509900.0,19805,WAWASET PARK,Red Clay Consolidated,No,Detached,0.21,1910.0,2125.0,2125.0,0.0,5.0,3.0,2.0,Three,Colonial,"Main,Upper1,Upper2",Yes,CentralAC,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,Stucco,73.5,151.8,9147,0.21,1910
DENC494212,535000.0,19805,HARRINGTON COURT,Red Clay Consolidated,Yes,Detached,0.18,1990.0,2625.0,2625.0,0.0,3.0,3.0,2.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"Asphalt,Frame,Stone,WoodSiding",83.2,96.0,7841,0.18,1990
DENC503632,529900.0,19805,WAWASET PARK,Red Clay Consolidated,No,Detached,0.15,1919.0,2175.0,2175.0,0.0,5.0,3.0,3.0,TwoandaHalf,Tudor,"Lower1,Main,Upper1,Upper2",Yes,CentralAC,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,100.0,90.7,6534,0.15,1919
DENC496168,569900.0,19805,WAWASET PARK,Red Clay Consolidated,Yes,Detached,0.14,1920.0,2250.0,2250.0,0.0,5.0,4.0,3.0,Three,Colonial,"Main,Upper1",Yes,CentralAC,"Electric,NaturalGas","BaseboardElectric,HotWater",Electric,Public,PublicSewer,Yes,Yes,Brick,76.8,91.5,6098,0.14,1920
DENC509296,599000.0,19805,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.57,2018.0,2875.0,2875.0,0.0,4.0,3.0,2.0,Two,"Colonial,Contemporary","Main,Upper1",Yes,"CentralAC,MultiUnits",PropaneOwned,"90ForcedAir,HeatPumpElectricBackUp",Propane,Public,PublicSewer,Yes,Yes,Combination,120.3,209.2,24829,0.57,2018
DENC504170,590000.0,19805,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.46,1935.0,5350.0,5350.0,0.0,5.0,4.0,3.0,Two,Colonial,"Main,Upper1,Upper2",Yes,"CeilingFans,CentralAC",Oil,HotWater,Electric,Public,PublicSewer,Yes,Yes,Brick,143.2,141.5,20038,0.46,1935
DENC520602,599900.0,19805,WAWASET PARK,Red Clay Consolidated,Yes,Detached,0.21,1925.0,2750.0,2750.0,0.0,4.0,4.0,3.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,Steam,Electric,Public,PublicSewer,Yes,Yes,Brick,100.0,129.3,9147,0.21,1919
DENC2018338,209900.0,19805,ELSMERE GARDENS,Colonial,No,Twin/Semi-Detached,700.02,1950.0,2215.0,1475.0,740.0,3.0,1.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PrivateSewer,Yes,No,Brick,0.0,0.0,3049,0.07,1950
DENC2008696,360000.0,19805,NONE AVAILABLE,Red Clay Consolidated,No,Detached,1.0,1929.0,1200.0,1200.0,0.0,3.0,3.0,3.0,Two,CapeCod,"Lower1,Main,Upper1",Yes,CentralAC,Electric,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,Concrete,0.0,0.0,43560,1.0,1929
DENC2021986,189000.0,19805,ELSMERE,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1953.0,1075.0,1075.0,0.0,3.0,1.0,1.0,Three,Reverse,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,Brick,17.9,150.0,2614,0.06,1953
DENC2018340,195000.0,19805,ALBAN PARK,Red Clay Consolidated,No,End of Row/Townhouse,0.07,1959.0,1150.0,1150.0,0.0,3.0,2.0,1.0,ThreeandaHalf,Other,"Lower1,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick",26.5,100.0,3049,0.07,1959
DENC2010094,199900.0,19805,ROSELLE,Red Clay Consolidated,Yes,Detached,0.12,1951.0,775.0,775.0,0.0,2.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,Oil,ForcedAir,NaturalGas,Public,PublicSewer,No,No,VinylSiding,50.0,100.0,5227,0.12,1951
DENC2007972,217900.0,19805,WILM #24,Red Clay Consolidated,No,Twin/Semi-Detached,0.04,1930.0,1425.0,1425.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,23.7,73.2,1742,0.04,1930
DENC2007040,192500.0,19805,WILM #25,Christina,No,Twin/Semi-Detached,0.05,1947.0,1250.0,1250.0,0.0,3.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,23.3,100.0,2178,0.05,1947
DENC2005316,220000.0,19805,VILONE VILLAGE,Red Clay Consolidated,No,Detached,0.16,1948.0,1841.0,1225.0,616.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,67.2,125.0,6970,0.16,1948
DENC2004306,184000.0,19805,CLELAND HEIGHTS,Red Clay Consolidated,No,Interior Row/Townhouse,0.03,1953.0,1075.0,1075.0,0.0,3.0,1.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,18.0,80.0,1307,0.03,1952
DENC2003400,200000.0,19805,WILLOW RUN,Red Clay Consolidated,No,Detached,0.14,1950.0,150.0,150.0,0.0,4.0,1.0,1.0,Two,CapeCod,Main,No,WindowUnits,Oil,HotWater,Oil,Public,PublicSeptic,No,No,"AluminumSiding,Concrete,VinylSiding",62.8,110.2,6098,0.14,1950
DENC2000626,199000.0,19805,ALBAN PARK,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1959.0,1738.0,1450.0,288.0,3.0,2.0,1.0,Three,Traditional,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",18.2,100.0,1742,0.04,1959
DENC527914,190000.0,19805,ELSMERE GARDENS,Red Clay Consolidated,No,Twin/Semi-Detached,0.09,1952.0,1360.0,1225.0,135.0,3.0,1.0,1.0,Two,SidebySide,Main,Yes,CentralAC,Electric,HeatPumpElectricBackUp,Electric,Public,PublicSewer,Yes,No,Brick,27.3,150.1,3920,0.09,1952
DENC526360,194500.0,19805,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.04,1914.0,1625.0,1625.0,0.0,3.0,3.0,2.0,Three,Colonial,"Main,Upper1,Upper2",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,37.5,50.0,1742,0.04,1914
DENC525810,197900.0,19805,BAYARD SQUARE,Christina,No,Twin/Semi-Detached,0.06,1944.0,1439.0,1150.0,289.0,3.0,1.0,1.0,Two,Colonial,Upper1,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,24.5,102.3,2614,0.06,1944
DENC524116,199999.0,19805,WILMINGTON,Christina,No,Twin/Semi-Detached,0.05,1952.0,1275.0,1275.0,0.0,3.0,1.0,1.0,Two,Colonial,Upper1,No,Other,Oil,Radiator,Oil,Public,PublicSewer,Yes,No,Brick,28.5,75.0,2178,0.05,1952
DENC2019686,200000.0,19805,WILLOW RUN,Red Clay Consolidated,No,Detached,0.16,1950.0,1275.0,1275.0,0.0,4.0,1.0,1.0,OneandaHalf,CapeCod,"Main,Upper1",No,"CeilingFans,WallUnit",Oil,HotWater,Oil,Public,PublicSewer,No,No,"Brick,Stucco,VinylSiding",62.0,118.0,6970,0.16,1950
DENC2009404,189900.0,19805,WAWASET HEIGHTS,Red Clay Consolidated,No,Detached,0.12,1920.0,1200.0,1200.0,0.0,3.0,1.0,1.0,Two,Bungalow,"Main,Upper1",No,"CeilingFans,WindowUnits",NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,MetalSiding,57.0,89.0,5227,0.12,1920
DENC2022808,179900.0,19805,WILM #25,Christina,No,Twin/Semi-Detached,0.04,1918.0,1150.0,1150.0,0.0,3.0,1.0,1.0,Two,Reverse,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,"Brick,Stucco",18.0,100.0,1742,0.04,1918
DENC2010630,199000.0,19805,CLELAND HEIGHTS,Red Clay Consolidated,No,Interior Row/Townhouse,0.03,1952.0,1075.0,1075.0,0.0,3.0,2.0,2.0,Two,Other,"Lower1,Main,Upper1",Yes,CentralAC,Other,Other,Other,Public,PublicSewer,No,No,Brick,18.3,80.0,1307,0.03,1952
DENC2015610,174900.0,19805,WILMINGTON,Red Clay Consolidated,No,Interior Row/Townhouse,0.03,1880.0,1250.0,1250.0,0.0,2.0,2.0,1.0,Two,Colonial,"Lower1,Lower2,Main,Upper1",No,None,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,"Brick,ShingleSiding",16.0,75.0,1307,0.03,1880
DENC2017608,205000.0,19805,WILM #24,Red Clay Consolidated,No,Interior Row/Townhouse,0.03,1914.0,1250.0,1250.0,0.0,3.0,4.0,1.0,Two,AFrame,"Lower1,Main,Upper1",Yes,CentralAC,Central,HotWater,Electric,Public,PublicSewer,Yes,No,Brick,15.4,80.0,1307,0.03,1914
DENC2012996,219000.0,19805,BROWNTOWN,Christina,No,Twin/Semi-Detached,0.04,1992.0,1225.0,1225.0,0.0,3.0,2.0,1.0,Three,Colonial,"Main,Upper1,Upper2",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,No,No,"AluminumSiding,Brick,VinylSiding",25.3,75.0,1742,0.04,1992
DENC2008042,205000.0,19805,ELSMERE GARDENS,Red Clay Consolidated,No,Twin/Semi-Detached,0.09,1954.0,1075.0,1075.0,0.0,3.0,1.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,27.3,150.1,3920,0.09,1954
DENC2006838,189000.0,19805,ALBAN PARK,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1959.0,1738.0,1450.0,288.0,3.0,2.0,2.0,Three,Colonial,"Lower1,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"Brick,VinylSiding",18.2,100.0,1742,0.04,1959
DENC2003578,249800.0,19805,BAYARD SQUARE,Christina,No,Detached,0.29,1930.0,1400.0,1400.0,0.0,3.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Oil,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,60.5,203.9,12632,0.29,1930
DENC527840,194900.0,19805,VILONE VILLAGE,Red Clay Consolidated,No,Detached,0.11,1950.0,1250.0,1250.0,0.0,3.0,2.0,1.0,Two,CapeCod,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,No,"AluminumSiding,Brick,VinylSiding",50.0,103.7,4792,0.11,1950
DENC524428,204900.0,19805,WILM #24,Red Clay Consolidated,No,Twin/Semi-Detached,0.04,1920.0,1125.0,1125.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,60PlusGallonTank,Public,PublicSewer,Yes,No,Brick,20.0,95.7,1742,0.04,1920
DENC517310,219500.0,19805,LITTLE ITALY,Red Clay Consolidated,No,Twin/Semi-Detached,0.04,2020.0,1400.0,1400.0,0.0,3.0,3.0,2.0,Two,Other,Main,Yes,CentralAC,NaturalGas,"Central,ProgrammableThermostat",Electric,Public,PublicSewer,Yes,No,"Block,Brick,BrickVeneer,Concrete,CPVCPVC,Frame,StickBuilt,VinylSiding",0.0,0.0,2613,0.06,2021
DENC517306,219500.0,19805,LITTLE ITALY,Red Clay Consolidated,No,Twin/Semi-Detached,0.04,2020.0,1400.0,1400.0,0.0,3.0,3.0,2.0,Two,Other,Main,Yes,CentralAC,NaturalGas,"Central,ProgrammableThermostat",Electric,Public,PublicSewer,Yes,No,"Block,Brick,BrickVeneer,Concrete,CPVCPVC,Frame,StickBuilt,VinylSiding",0.0,0.0,2178,0.05,2021
DENC2001598,204900.0,19805,WILM #24,Red Clay Consolidated,No,Detached,0.05,1910.0,2325.0,2325.0,0.0,5.0,3.0,3.0,Two,Colonial,"Main,Upper1",No,None,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,No,Brick,0.0,0.0,2178,0.05,1910
DENC526482,189900.0,19805,COLONIAL HEIGHTS,Red Clay Consolidated,No,Detached,0.13,1920.0,825.0,825.0,0.0,3.0,1.0,1.0,OneandaHalf,Bungalow,"Main,Upper1",Yes,CentralAC,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,Frame,50.0,113.0,5662,0.13,1920
DENC2004062,197500.0,19805,NONE AVAILABLE,Red Clay Consolidated,No,End of Row/Townhouse,0.07,1954.0,1350.0,1350.0,0.0,3.0,1.0,1.0,Two,Colonial,Upper1,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,27.3,117.9,3049,0.07,1954
DENC2002720,214900.0,19805,VILONE VILLAGE,Red Clay Consolidated,No,Detached,0.14,1949.0,1175.0,1175.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",50.0,125.0,6098,0.14,1949
DENC524926,220000.0,19805,WILM #25,Christina,No,Twin/Semi-Detached,0.06,1944.0,1100.0,1100.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,Brick,24.5,102.3,2614,0.06,1944
DENC2019704,190000.0,19805,CLELAND HEIGHTS,Red Clay Consolidated,No,Interior Row/Townhouse,0.03,1952.0,1425.0,1075.0,350.0,3.0,1.0,1.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,18.1,80.0,1307,0.03,1952
DENC2000340,209900.0,19805,WILMINGTON,Red Clay Consolidated,No,End of Row/Townhouse,0.03,1916.0,25.0,25.0,0.0,3.0,2.0,1.0,Two,Colonial,"Main,Upper1",No,WindowUnits,NaturalGas,Radiator,Electric,Public,PublicSewer,Yes,No,"Brick,VinylSiding",14.8,97.0,1307,0.03,1916
DENC2002298,215000.0,19805,NONE AVAILABLE,Christina,No,Twin/Semi-Detached,0.07,1946.0,1250.0,1250.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",Yes,"CeilingFans,CentralAC",Oil,Radiator,Electric,Public,PublicSewer,Yes,No,Brick,28.2,100.0,3049,0.07,1946
DENC2019566,195000.0,19805,ALBAN PARK,Red Clay Consolidated,No,Interior Row/Townhouse,0.09,1959.0,1738.0,1450.0,288.0,3.0,2.0,1.0,Three,Traditional,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Other,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",18.2,100.0,3920,0.09,1959
DENC2017900,200000.0,19805,BRACK-EX,Red Clay Consolidated,No,Twin/Semi-Detached,0.06,1930.0,1500.0,1500.0,0.0,3.0,2.0,1.0,Three,Colonial,"Main,Upper1,Upper2",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,"AluminumSiding,Frame",24.0,120.0,2614,0.06,1930
DENC2000365,215000.0,19805,COLONIAL HEIGHTS,Red Clay Consolidated,No,Detached,0.13,1950.0,2035.0,1525.0,510.0,4.0,2.0,2.0,Two,CapeCod,Main,Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,Brick,50.0,110.0,5663,0.13,1950
DENC2005028,219900.0,19805,WILM #22,Red Clay Consolidated,No,Detached,0.08,1900.0,2100.0,2100.0,0.0,5.0,2.0,2.0,Three,Traditional,"Main,Upper1,Upper2",No,WindowUnits,NaturalGas,Radiator,Electric,Public,PublicSewer,Yes,No,BrickFront,30.0,112.0,3485,0.08,1900
DENC2004710,239900.0,19805,UNION PARK GARDENS,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1918.0,1050.0,1050.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSeptic,Yes,No,Brick,18.0,100.0,1742,0.04,1918
DENC528806,200000.0,19805,ELSMERE GARDENS,Red Clay Consolidated,No,Twin/Semi-Detached,0.09,1950.0,1075.0,1075.0,0.0,3.0,1.0,1.0,Two,AirLite,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,27.3,150.1,3920,0.09,1950
DENC2020594,214900.0,19805,BROWNTOWN,Christina,No,Interior Row/Townhouse,0.04,1990.0,1475.0,1475.0,0.0,3.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,ForcedAir,Electric,Public,PublicSewer,No,No,VinylSiding,18.0,100.0,1742,0.04,1990
DENC2018092,211000.0,19805,UNION PARK GARDENS,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1918.0,1050.0,1050.0,0.0,3.0,1.0,1.0,Two,Colonial,Upper1,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,"Brick,VinylSiding",18.0,100.0,1742,0.04,1918
DENC2020838,185000.0,19805,WILLOW RUN,Red Clay Consolidated,No,Detached,0.17,1950.0,1450.0,1450.0,0.0,4.0,1.0,1.0,OneandaHalf,CapeCod,"Main,Upper1",Yes,CentralAC,PropaneLeased,ForcedAir,Electric,Public,PublicSewer,No,No,"Concrete,Stucco",60.0,123.9,7405,0.17,1950
DENC2017620,205000.0,19805,UNION PARK GARDENS,Christina,No,Interior Row/Townhouse,0.04,1918.0,1075.0,1075.0,0.0,3.0,1.0,1.0,Two,Traditional,Upper1,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,18.0,100.0,1742,0.04,1918
DENC2011650,209900.0,19805,CLELAND HEIGHTS,Red Clay Consolidated,No,End of Row/Townhouse,0.05,1991.0,1400.0,1400.0,0.0,3.0,3.0,2.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,HeatPumps,NaturalGas,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",27.9,80.5,2178,0.05,1991
DENC2000739,219900.0,19805,LITTLE ITALY,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1991.0,1250.0,1250.0,0.0,3.0,2.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,Stucco,VinylSiding",18.0,100.0,1742,0.04,1991
DENC2007836,210000.0,19805,ALBAN PARK,Red Clay Consolidated,No,End of Row/Townhouse,0.08,1959.0,1738.0,1450.0,288.0,3.0,2.0,1.0,Two,Other,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"AluminumSiding,Brick,VinylSiding",34.5,100.0,3485,0.08,1959
DENC526276,209900.0,19805,BAYARD SQUARE,Christina,No,Interior Row/Townhouse,0.04,1933.0,1350.0,1350.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",No,WallUnit,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,20.0,88.0,1742,0.04,1933
DENC2010798,215000.0,19805,ALBAN PARK,Red Clay Consolidated,No,End of Row/Townhouse,0.1,1973.0,1453.0,1300.0,153.0,3.0,2.0,1.0,Two,Traditional,Main,Yes,CentralAC,NaturalGas,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Brick,VinylSiding",40.4,100.0,4356,0.1,1973
DENC2000591,229900.0,19805,BROWNTOWN,Christina,No,End of Row/Townhouse,0.05,1987.0,1400.0,1400.0,0.0,4.0,2.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,"ForcedAir,HeatPumpElectricBackUp",Electric,Public,PublicSewer,Yes,Yes,"Brick,VinylSiding",41.0,48.0,2178,0.05,1987
DENC2007530,185000.0,19805,ALBAN PARK,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1959.0,1444.0,1300.0,144.0,3.0,3.0,2.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,16.2,100.0,1742,0.04,1959
DENC2004898,200000.0,19805,COLONIAL HEIGHTS,Red Clay Consolidated,No,Detached,0.16,1920.0,1600.0,1600.0,0.0,3.0,3.0,3.0,Two,Bungalow,"Main,Upper1",Yes,CentralAC,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,No,Stucco,60.0,113.0,6970,0.16,1920
DENC2002780,215000.0,19805,BAYARD SQUARE,Christina,No,Twin/Semi-Detached,0.06,1941.0,1250.0,1250.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",No,DuctlessMiniSplit,NaturalGas,HotWater,"NaturalGas,Tankless",Public,PublicSewer,Yes,Yes,Brick,25.0,90.5,2614,0.06,1941
DENC2000502,210000.0,19805,ELSMERE,Red Clay Consolidated,No,Detached,0.17,1951.0,1000.0,1000.0,0.0,4.0,1.0,1.0,OneandaHalf,CapeCod,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,Asbestos,58.0,120.0,7405,0.17,1951
DENC527150,209900.0,19805,BRACK-EX,Red Clay Consolidated,No,Detached,0.28,1950.0,1550.0,1550.0,0.0,3.0,2.0,1.0,Three,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Brick,Stucco",59.6,200.0,12197,0.28,1950
DENC525544,225000.0,19805,LANCASTER VILLAGE,Red Clay Consolidated,No,Twin/Semi-Detached,0.09,1943.0,1600.0,1500.0,100.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",No,None,NaturalGas,ForcedAir,Other,Public,PublicSewer,Yes,No,Brick,35.0,109.8,3920,0.09,1943
DENC2009168,215000.0,19805,BROOKLAND TERRACE,Red Clay Consolidated,No,Detached,0.18,1950.0,1200.0,1200.0,0.0,3.0,1.0,1.0,One,Rancher,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,Stucco,80.0,100.0,7841,0.18,1950
DENC2000232,219900.0,19805,LANCASTER VILLAGE,Red Clay Consolidated,No,Twin/Semi-Detached,0.09,1943.0,1350.0,1350.0,0.0,3.0,1.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Private,PublicSewer,Yes,Yes,"Brick,Frame",35.0,109.8,3920,0.09,1943
DENC2000258,217400.0,19805,UNION PARK GARDENS,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1918.0,1225.0,1075.0,150.0,3.0,2.0,1.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Oil,HotWater,Oil,Public,PublicSewer,Yes,No,"Brick,Stucco",20.0,100.0,2178,0.05,1918
DENC2008626,217500.0,19805,WOODLAND HEIGHTS,Red Clay Consolidated,Yes,Detached,0.16,1955.0,1754.0,1250.0,504.0,3.0,2.0,2.0,OneandaHalf,SplitLevel,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,No,VinylSiding,65.0,110.0,6970,0.16,1955
DENC525140,239900.0,19805,WILM #25,Christina,No,Detached,0.12,1938.0,1450.0,1450.0,0.0,3.0,2.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,54.0,100.0,5227,0.12,1938
DENC2016692,210000.0,19805,COLONIAL HEIGHTS,Red Clay Consolidated,No,Detached,0.12,1923.0,1025.0,1025.0,0.0,3.0,2.0,1.0,One,Bungalow,"Lower1,Main",Yes,CentralAC,Electric,HotWater,NaturalGas,Private,PublicSewer,Yes,Yes,Asbestos,50.0,100.0,5227,0.12,1923
DENC2010570,219900.0,19805,WILMINGTON,Christina,No,Twin/Semi-Detached,0.05,1926.0,1520.0,1120.0,400.0,3.0,2.0,2.0,Three,Colonial,"Lower1,Main,Upper1",No,"CeilingFans,WindowUnits",NaturalGas,BaseboardHotWater,NaturalGas,Public,PublicSewer,Yes,No,Brick,21.9,91.0,2178,0.05,1926
DENC2005442,219900.0,19805,UNION PARK GARDENS,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1918.0,1050.0,1050.0,0.0,3.0,1.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,18.0,116.2,2178,0.05,1918
DENC2018472,200000.0,19805,ALBAN PARK,Red Clay Consolidated,No,End of Row/Townhouse,0.06,1959.0,1150.0,1150.0,0.0,3.0,2.0,1.0,Two,Other,Main,No,WindowUnits,Electric,ForcedAir,Electric,Public,Other,Yes,No,Brick,32.2,103.3,2614,0.06,1959
DENC2010616,220000.0,19805,NONE AVAILABLE,Red Clay Consolidated,No,Interior Row/Townhouse,0.02,2003.0,2000.0,2000.0,0.0,2.0,2.0,1.0,Two,Transitional,"Main,Upper1",Yes,CentralAC,NaturalGas,Central,Other,Public,PublicSewer,No,Yes,"AluminumSiding,Brick,VinylSiding",0.0,0.0,871,0.02,2003
DENC2009154,265000.0,19805,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.34,1880.0,2225.0,2225.0,0.0,5.0,2.0,2.0,Three,Victorian,"Main,Upper1,Upper2",No,None,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,"Other,WoodSiding",100.0,150.0,14810,0.34,1880
DENC2000489,212000.0,19805,PARKWAY WEST,Red Clay Consolidated,No,End of Row/Townhouse,0.06,1983.0,1400.0,1400.0,0.0,3.0,3.0,2.0,Two,Other,Main,Yes,CentralAC,Other,ForcedAir,Other,Public,PublicSewer,Yes,Yes,"Brick,Frame",38.4,117.8,2614,0.06,1983
DENC2001660,199900.0,19805,WILM #14,Red Clay Consolidated,No,Interior Row/Townhouse,0.03,1915.0,1375.0,1375.0,0.0,3.0,2.0,1.0,Two,StraightThru,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,Brick,14.0,91.0,1307,0.03,1915
